Close,Date
-230.74222,1998-09-30
-232.2422,1998-10-01
-232.22658,1998-10-02
-232.96097,1998-10-05
-233.85158,1998-10-06
-234.7266,1998-10-07
-235.46095,1998-10-08
-234.03906,1998-10-09
-233.32033,1998-10-12
-234.14847,1998-10-13
-233.21095,1998-10-14
-231.89847,1998-10-15
-231.99222,1998-10-16
-232.52347,1998-10-19
-233.19533,1998-10-20
-231.64845,1998-10-21
-230.75781,1998-10-22
-231.66408,1998-10-23
-231.49222,1998-10-26
-231.89847,1998-10-27
-231.83597,1998-10-28
-231.60158,1998-10-29
-231.78908,1998-10-30
-231.8047,1998-11-02
-231.96097,1998-11-03
-231.88284,1998-11-04
-231.66408,1998-11-05
-230.92972,1998-11-06
-230.58595,1998-11-09
-230.24222,1998-11-10
-230.4922,1998-11-11
-231.07033,1998-11-12
-230.75781,1998-11-13
-231.0547,1998-11-16
-230.2891,1998-11-17
-230.82034,1998-11-18
-230.32034,1998-11-19
-229.8516,1998-11-20
-228.46095,1998-11-23
-227.83595,1998-11-24
-227.19533,1998-11-25
-226.2422,1998-11-27
-227.75783,1998-11-30
-225.88284,1998-12-01
-226.57034,1998-12-02
-227.72658,1998-12-03
-226.4141,1998-12-04
-224.86722,1998-12-07
-225.46097,1998-12-08
-224.8516,1998-12-09
-225.36722,1998-12-10
-224.75784,1998-12-11
-226.27345,1998-12-14
-225.28906,1998-12-15
-224.82034,1998-12-16
-224.66408,1998-12-17
-223.80472,1998-12-18
-223.14847,1998-12-21
-223.64844,1998-12-22
-222.3672,1998-12-23
-222.82033,1998-12-24
-222.6641,1998-12-28
-223.13284,1998-12-29
-223.50783,1998-12-30
-223.58595,1998-12-31
-223.00783,1999-01-04
-221.63284,1999-01-05
-220.44534,1999-01-06
-220.63283,1999-01-07
-220.78908,1999-01-08
-221.38283,1999-01-11
-222.71097,1999-01-12
-222.3047,1999-01-13
-222.82033,1999-01-14
-220.82033,1999-01-15
-219.3516,1999-01-19
-217.60158,1999-01-20
-218.6797,1999-01-21
-219.19533,1999-01-22
-217.7891,1999-01-25
-215.3672,1999-01-26
-216.1016,1999-01-27
-214.75783,1999-01-28
-214.50784,1999-01-29
-215.02347,1999-02-01
-216.35158,1999-02-02
-216.55472,1999-02-03
-218.4922,1999-02-04
-218.25784,1999-02-05
-216.94533,1999-02-08
-218.24222,1999-02-09
-218.10158,1999-02-10
-217.57033,1999-02-11
-218.82034,1999-02-12
-219.19533,1999-02-16
-220.75783,1999-02-17
-221.82033,1999-02-18
-221.32033,1999-02-19
-221.05472,1999-02-22
-219.39847,1999-02-23
-220.03908,1999-02-24
-219.88284,1999-02-25
-220.72658,1999-02-26
-220.32033,1999-03-01
-221.11722,1999-03-02
-220.85158,1999-03-03
-220.19533,1999-03-04
-219.52345,1999-03-05
-218.50783,1999-03-08
-217.80472,1999-03-09
-217.91408,1999-03-10
-217.89845,1999-03-11
-218.21097,1999-03-12
-216.78908,1999-03-15
-215.99219,1999-03-16
-216.47658,1999-03-17
-215.14845,1999-03-18
-215.46097,1999-03-19
-215.05472,1999-03-22
-216.61722,1999-03-23
-215.44531,1999-03-24
-213.27345,1999-03-25
-213.7266,1999-03-26
-212.07034,1999-03-29
-211.75784,1999-03-30
-213.44534,1999-03-31
-211.91408,1999-04-01
-210.78908,1999-04-05
-211.2266,1999-04-06
-211.60158,1999-04-07
-210.9766,1999-04-08
-211.13283,1999-04-09
-211.75784,1999-04-12
-213.19534,1999-04-13
-215.32033,1999-04-14
-213.82033,1999-04-15
-214.94533,1999-04-16
-217.75784,1999-04-19
-216.69534,1999-04-20
-217.25784,1999-04-21
-215.78908,1999-04-22
-215.25783,1999-04-23
-214.25784,1999-04-26
-216.25783,1999-04-27
-217.19534,1999-04-28
-217.2266,1999-04-29
-217.60158,1999-04-30
-218.32034,1999-05-03
-219.22658,1999-05-04
-218.69533,1999-05-05
-219.2891,1999-05-06
-218.72656,1999-05-07
-218.41408,1999-05-10
-218.32034,1999-05-11
-218.00783,1999-05-12
-218.69533,1999-05-13
-219.82031,1999-05-14
-218.69533,1999-05-17
-218.9141,1999-05-18
-218.60158,1999-05-19
-219.03908,1999-05-20
-219.4766,1999-05-21
-219.63283,1999-05-24
-220.13283,1999-05-25
-219.00783,1999-05-26
-219.07033,1999-05-27
-217.91408,1999-05-28
-219.00783,1999-06-01
-219.03908,1999-06-02
-220.07033,1999-06-03
-218.47658,1999-06-04
-218.13283,1999-06-07
-218.57033,1999-06-08
-217.1016,1999-06-09
-218.32034,1999-06-10
-219.19533,1999-06-11
-219.4766,1999-06-14
-219.4141,1999-06-15
-217.75784,1999-06-16
-216.82033,1999-06-17
-215.75783,1999-06-18
-213.78908,1999-06-21
-215.00784,1999-06-22
-215.25783,1999-06-23
-215.94533,1999-06-24
-215.78908,1999-06-25
-214.88283,1999-06-28
-214.25784,1999-06-29
-213.1641,1999-06-30
-212.66408,1999-07-01
-212.25783,1999-07-02
